INSTNM,RANKING,PERCENTILE,STABBR,SFRatio,REGION,CCSIZSET,ACTUAL SIZE (S/M/L),LOCALE,URBANIZATION,SAT_AVG,ADM_RATE,Ave. Net Price
Texas Christian University,82,72.70%,TX,13,6,13,2,11,1,1207,0.4887,32932
Michigan State University,82,72.70%,MI,17,3,16,3,13,2,1158,0.6609,16382
University of Iowa,82,72.70%,IA,16,4,16,3,13,2,1164,0.8095,14863
Colorado School of Mines,82,72.70%,CO,16,7,13,2,21,2,1333,0.3647,25777
University of Denver,86,71.30%,CO,11,7,13,2,11,1,1231,0.7649,29771
University of San Diego,86,71.30%,CA,14,8,13,2,11,1,1243,0.4625,30191
University of Tulsa,86,71.30%,OK,9,6,14,2,11,1,1296,0.4026,26844
Marquette University,86,71.30%,WI,14,3,17,3,11,1,1220,0.6671,30452
Indiana University-Bloomington,86,71.30%,IN,17,3,16,3,13,2,1198,0.7609,14370
North Carolina State University at Raleigh,92,69.30%,NC,13,5,16,3,11,1,1253,0.516,14811
Florida State University,92,69.30%,FL,25,5,15,3,12,2,1228,0.5539,15827
University of Colorado Boulder,92,69.30%,CO,17,7,16,3,13,2,1207,0.8416,21792
University of Vermont,92,69.30%,VT,15,1,17,3,13,2,1191,0.7344,15838
Drexel University,96,68.00%,PA,10,2,16,3,11,1,1186,0.7601,35219
Saint Louis University,96,68.00%,MO,11,4,17,3,11,1,1239,0.6108,30543
Loyola University Chicago,99,67.00%,IL,14,3,16,3,11,1,1212,0.6334,29899
SUNY College of Environmental Science and Forestry,99,67.00%,NY,13,2,10,1,12,2,1193,0.5113,18321
Auburn University,99,67.00%,AL,19,5,15,3,13,2,1215,0.8347,18644
Illinois Institute of Technology,103,65.70%,IL,13,3,14,2,11,1,1266,0.506,19667
University of Oregon,103,65.70%,OR,17,8,15,3,12,2,1116,0.749,15487
University of Alabama,103,65.70%,AL,23,5,16,3,13,2,1185,0.5105,20787
University of San Francisco,107,64.30%,CA,14,8,16,3,11,1,1152,0.6005,30154
Rochester Institute of Technology,107,64.30%,NY,12,2,17,3,21,2,1240,0.5747,25256
University of the Pacific,111,63.00%,CA,12,8,13,2,11,1,1185,0.549,30202
University of Nebraska-Lincoln,111,63.00%,NE,21,4,16,3,11,1,1146,0.6989,16177
University of Utah,111,63.00%,UT,16,7,15,3,12,2,1131,0.8142,13874
University of Dayton,111,63.00%,OH,15,3,17,3,12,2,1194,0.5901,33236
Iowa State University,111,63.00%,IA,15,4,16,3,13,2,1145,0.8691,14100
Temple University,118,60.70%,PA,15,2,15,3,11,1,1125,0.6173,19918
University of California-Riverside,118,60.70%,CA,22,8,16,3,11,1,1128,0.5829,13144
University of Kansas,118,60.70%,KS,17,4,16,3,13,2,1145,0.9142,18434
Seton Hall University,118,60.70%,NJ,13,2,13,2,21,2,1133,0.7554,26177
Michigan Technological University,118,60.70%,MI,12,3,13,2,33,3,1244,0.755,14336
Duquesne University,124,58.70%,PA,13,2,14,2,11,1,1144,0.7306,26345
Howard University,124,58.70%,DC,14,2,14,2,11,1,1105,0.4841,23191
Arizona State University-Tempe,129,57.00%,AZ,23,6,15,3,12,2,1145,0.8433,10858
Clarkson University,129,57.00%,NY,14,2,14,2,33,3,1195,0.6214,27629
University of Kentucky,133,55.70%,KY,17,5,16,3,11,1,1142,0.7221,14785
Hofstra University,133,55.70%,NY,13,2,13,2,21,2,1147,0.6161,30731
New Jersey Institute of Technology,135,55.00%,NJ,17,2,12,2,11,1,1168,0.6339,18205
University of Cincinnati,135,55.00%,OH,17,3,15,3,11,1,1165,0.7578,22054
Mercer University,135,55.00%,GA,13,5,14,2,12,2,1205,0.6672,20347
University of Arkansas,135,55.00%,AR,19,5,16,3,13,2,1155,0.6204,14143
University of Mississippi,135,55.00%,MS,18,5,16,3,33,3,1098,0.8122,14358
Oregon State University,143,52.30%,OR,18,8,15,3,13,2,1112,0.7776,18202
George Mason University,143,52.30%,VA,16,5,16,3,21,2,1152,0.6665,18738
San Diego State University,146,51.30%,CA,20,8,15,3,11,1,1115,0.3448,12567
University of Texas-Dallas,146,51.30%,TX,23,6,16,3,13,2,1259,0.6194,12050
Ohio University-Main Campus,146,51.30%,OH,18,3,16,3,32,3,1106,0.7427,20351
University of Illinois at Chicago,152,49.30%,IL,18,3,15,3,11,1,1125,0.7448,13811
University of Massachusetts-Lowell,152,49.30%,MA,17,1,16,3,21,2,1145,0.6201,16798
Illinois State University,152,49.30%,IL,19,3,16,3,22,2,1110,0.7388,20052
Seattle Pacific University,159,47.00%,WA,14,8,14,2,11,1,1140,0.834,25913
University of Maryland-Baltimore County,159,47.00%,MD,19,2,16,3,21,2,1213,0.5961,17657
University of Rhode Island,159,47.00%,RI,17,1,16,3,21,2,1077,0.7681,18382
Virginia Commonwealth University,164,45.30%,VA,17,5,16,3,12,2,1105,0.7535,20723
Biola University,164,45.30%,CA,15,8,14,2,21,2,1122,0.754,31176
Union University,169,43.70%,TN,11,5,14,2,13,2,1170,0.6858,24077
Florida Institute of Technology,171,43.00%,FL,13,5,13,2,13,2,1176,0.6157,27291
University of Louisville,171,43.00%,KY,13,5,15,3,21,2,1144,0.7386,14370
University of Wyoming,171,43.00%,WY,14,7,15,3,33,3,1118,0.9766,11603
University of Idaho,171,43.00%,ID,17,7,12,2,41,3,1057,0.6748,13548
Lipscomb University,176,41.30%,TN,12,5,14,2,11,1,1175,0.5558,22410
Texas Tech University,176,41.30%,TX,22,6,16,3,12,2,1110,0.6613,15315
University of Central Florida,176,41.30%,FL,30,5,15,3,21,2,1185,0.4961,13724
Mississippi State University,176,41.30%,MS,19,5,16,3,33,3,1126,0.7102,15902
West Virginia University,183,39.00%,WV,19,5,15,3,13,2,1069,0.8579,10305
University of Maine,183,39.00%,ME,16,1,13,2,23,2,1078,0.8257,16731
Andrews University,183,39.00%,MI,9,3,11,1,31,3,1081,0.3688,21789
Suffolk University,188,37.30%,MA,13,1,12,2,11,1,1049,0.8391,27209
University of Houston,194,35.30%,TX,21,6,15,3,11,1,1139,0.6299,13028
Lesley University,197,34.30%,MA,12,1,13,2,12,2,1086,0.7149,32123
University of Nevada-Reno,197,34.30%,NV,21,8,15,3,12,2,1081,0.8388,14579
University of North Dakota,202,32.70%,ND,21,4,16,3,13,2,1090,0.86,16289
Louisiana Tech University,202,32.70%,LA,26,5,12,2,32,3,1104,0.6503,9514
Montana State University,210,30.00%,MT,19,7,16,3,33,3,1128,0.8385,16600
Nova Southeastern University,214,28.70%,FL,16,5,15,3,21,2,1143,0.4881,25476
Tennessee Technological University,220,26.70%,TN,18,5,16,3,33,3,1105,0.9441,13203
,,,,,,,,,,,,
,141,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,1 = large city,,,
,,,,,,,,,2= mid-sized town,,,
,,,,,,,,,3= small town,,,
